subject	seq	trial	wordtype	text	transcript	maincode	checktrans
1	72	43	target	NOZZLE	nozzle	TRUE	
1	73	44	prime	PLAYPEN	playpen	TRUE	
1	74	44	target	SOCK	sock	TRUE	
1	75	45	prime	SPIDER	spider	TRUE	
1	76	45	target	BEAR	bear	TRUE	
1	77	46	prime	COACH	coach	TRUE	
1	78	46	target	ATHLETE	athlete	TRUE	
1	79	47	prime	HOTEL	hotel	TRUE	
1	80	47	target	LEG	leg	TRUE	
1	81	48	prime	ELEPHANT	elephant	TRUE	
1	82	48	target	TIGER	tiger	TRUE	
1	83	49	prime	UNCLE	uncle	TRUE	
1	84	49	target	CHAIR	chair	TRUE	
1	85	50	prime	MARATHON	marathon	TRUE	
1	86	50	target	CLASSROOM	classroom	TRUE	
1	87	51	prime	SHOWTIME	showtime	TRUE	
1	88	51	target	BOOK	book	TRUE	
1	89	52	prime	LOTTERY	lottery	TRUE	
1	90	52	target	TIRE	tire	TRUE	
1	91	53	prime	RAKE	rake	TRUE	
1	92	53	target	GRAVE	grave	TRUE	
1	93	54	prime	CRUISE	cruise	TRUE	
1	94	54	target	SHARPENER	k-sharpener	FALSE	
1	95	55	prime	HORSE	horse	TRUE	
1	96	55	target	RAVEN	raven	TRUE	
1	97	56	prime	FORK	fork	TRUE	
1	98	56	target	LADLE	ladle	TRUE	
1	99	57	prime	FORTRESS	fortress	TRUE	
1	100	57	target	FARM	farm	TRUE	
1	101	58	prime	WINDOW	window	TRUE	
1	102	58	target	CURTAIN	curtain	TRUE	
1	103	59	prime	BODYGUARD	bodyguarad	FALSE	
1	104	59	target	JEWELER	jeweler	TRUE	
1	105	60	prime	ZINC	zinc	TRUE	
1	106	60	target	PEACH	peach	TRUE	
1	107	61	prime	KAYAK	kayak	TRUE	
1	108	61	target	FLAGPOLE	flagpole	TRUE	
1	109	62	prime	BOURBON	bourbon	TRUE	
1	110	62	target	ACTOR	actor	TRUE	
1	111	63	prime	BANANA	banana	TRUE	
1	112	63	target	SUNDAE	sundae	TRUE	
1	113	64	prime	BLUEPRINT	blueprint	TRUE	
1	114	64	target	DRAWING	drawing	TRUE	
1	115	65	prime	SINK	sink	TRUE	
1	116	65	target	DISH	dish	TRUE	
1	117	66	prime	BIKE	bike	TRUE	
1	118	66	target	TIRE	tire	TRUE	
1	119	67	prime	FLIGHT	flight	TRUE	
1	120	67	target	CROSS	cross	TRUE	
1	121	68	prime	KNIFE	knife	TRUE	
1	122	68	target	CLUB	club	TRUE	
1	123	69	prime	CAKE	cake	TRUE	
1	124	69	target	CANDLE	candle	TRUE	
1	125	70	prime	TREASURER	treasurer	TRUE	
1	126	70	target	SUPPORTER	supporter	TRUE	
1	127	71	prime	HEAVEN	heaven	TRUE	
1	128	71	target	MANUAL	manuel	FALSE	
1	129	72	prime	TITAN	titan	TRUE	
1	130	72	target	RADIATOR	radiator	TRUE	
1	131	73	prime	VASE	vase	TRUE	
1	132	73	target	COVER	cover	TRUE	
1	133	74	prime	KIMONO	kimono	TRUE	
1	134	74	target	PENCIL	pencil	TRUE	
1	135	75	prime	JAR	jar	TRUE	
1	136	75	target	LID	lid	TRUE	
1	137	76	prime	NERVE	nerve	TRUE	
1	138	76	target	TELEVISION	television	TRUE	
1	139	77	prime	SHOVEL	shovel	TRUE	
1	140	77	target	BOULDER	boulder	TRUE	
1	141	78	prime	SALMON	salmon	TRUE	
1	142	78	target	GARDEN	garden 	FALSE	
1	143	79	prime	TENT	tent	TRUE	
1	144	79	target	POLE	pole	TRUE	
2	1	8	prime	RAIL	rail	TRUE	
2	2	8	target	CARDINAL	cardinal	TRUE	
2	3	9	prime	HOTEL	hotel	TRUE	
2	4	9	target	BARREL	barrel	TRUE	
2	5	10	prime	MELON	melon	TRUE	
2	6	10	target	CELEBRITY	celebrity	TRUE	
2	7	11	prime	JAR	jar	TRUE	
2	8	11	target	BAGEL	bagel	TRUE	
2	9	12	prime	TEST	test	TRUE	
2	10	12	target	GATE	gate	TRUE	
2	11	13	prime	KIMONO	kimono	TRUE	
2	12	13	target	PEN	pen	TRUE	
2	13	14	prime	TENT	tent	TRUE	
2	14	14	target	CUSHION	cushion	TRUE	
2	15	15	prime	DAM	dam	TRUE	
2	16	15	target	FACTORY	factory	TRUE	
2	17	16	prime	DRUM	drum	TRUE	
2	18	16	target	HELMET	helmet	TRUE	
2	19	17	prime	MAGAZINE	magazine	TRUE	
2	20	17	target	NECKLACE	necklace	TRUE	
2	21	18	prime	CHAIN	chain	TRUE	
2	22	18	target	SAW	saw	TRUE	
2	23	19	prime	ELEPHANT	elephant	TRUE	
2	24	19	target	TURTLE	turtle	TRUE	
2	25	20	prime	PASSPORT	passport	TRUE	
2	26	20	target	SENIOR	senior	TRUE	
2	27	21	prime	ENVELOPE	envelope	TRUE	
2	28	21	target	ALBUM	album	TRUE	
2	29	22	prime	RAKE	rake	TRUE	
2	30	22	target	GLOVE	glove	TRUE	
2	31	23	prime	LAYER	layer	TRUE	
2	32	23	target	CAMP	camp	TRUE	
2	33	24	prime	CAKE	cake	TRUE	
2	34	24	target	FIGURINE	figurine	TRUE	
2	35	25	prime	SUCCESSOR	successor	TRUE	
2	36	25	target	PIANO	piano	TRUE	
2	37	26	prime	PLAYPEN	playpen	TRUE	
2	38	26	target	SHOELACE	shoelace	TRUE	
2	39	27	prime	ASYLUM	asylum	TRUE	
2	40	27	target	BOW	bow	TRUE	
2	41	28	prime	NERVE	nerve	TRUE	
2	42	28	target	CUSHION	cushion	TRUE	
2	43	29	prime	JAW	jaw	TRUE	
2	44	29	target	WRENCH	wrench	TRUE	
2	45	30	prime	SALT	salt	TRUE	
2	46	30	target	CAVERN	cavern	TRUE	
2	47	31	prime	DRIFTER	drifter	TRUE	
2	48	31	target	HOSE	hose	TRUE	
2	49	32	prime	LOCKER	locker	TRUE	
2	50	32	target	STRING	string	TRUE	
2	51	33	prime	MATADOR	metador (sic)	FALSE	
2	52	33	target	SANDWICH	sandwich	TRUE	
2	53	34	prime	DECOY	decoy	TRUE	
2	54	34	target	OAR	oar	TRUE	
2	55	35	prime	ATLAS	atlas	TRUE	
2	56	35	target	GLOBE	globe	TRUE	
2	57	36	prime	HEAVEN	heaven	TRUE	
2	58	36	target	LENS	lens	TRUE	
2	59	37	prime	WINDOW	window	TRUE	
2	60	37	target	PANE	pane	TRUE	
2	61	38	prime	SINK	sink	TRUE	
2	62	38	target	FAUCET	faucet	TRUE	
2	63	39	prime	CAR	car	TRUE	
2	64	39	target	ROAD	road	TRUE	
2	65	40	prime	TREASURER	treasurer	TRUE	
2	66	40	target	SENATOR	senator	TRUE	
2	67	41	prime	FORK	fork	TRUE	
2	68	41	target	LEMON	lemon	TRUE	
2	69	42	prime	MARATHON	marathon	TRUE	
2	70	42	target	CLOSET	closet	TRUE	
2	71	43	prime	UNCLE	uncle	TRUE	
2	72	43	target	LAMP	lamp	TRUE	
2	73	44	prime	FORTRESS	fortress	TRUE	
2	74	44	target	WALL	wall	TRUE	
2	75	45	prime	SHOWTIME	showtime	TRUE	
2	76	45	target	STRAP	strap	TRUE	
2	77	46	prime	ENTERPRISE	enterprise	TRUE	
2	78	46	target	BENCH	bench	TRUE	
2	79	47	prime	RAT	rat	TRUE	
2	80	47	target	TAXI	taxi	TRUE	
2	81	48	prime	FORT	fort	TRUE	
2	82	48	target	CLIFF	cliff	TRUE	
2	83	49	prime	ROBIN	robin	TRUE	
2	84	49	target	CHIPMUNK	chipmunk	TRUE	
2	85	50	prime	BOURBON	bourbon	TRUE	
2	86	50	target	BOXER	boxer	TRUE	
2	87	51	prime	OBJECTIVE	objective	TRUE	
2	88	51	target	HAMSTER	hamster	TRUE	
2	89	52	prime	BLUEPRINT	blueprint	TRUE	
2	90	52	target	RULER	ruler	TRUE	
2	91	53	prime	KAYAK	kayak	TRUE	
2	92	53	target	FERRY	fairy	FALSE	
2	93	54	prime	LOTTERY	lottery	TRUE	
2	94	54	target	BASKET	basket	TRUE	
2	95	55	prime	KNIFE	knife	TRUE	
2	96	55	target	CAN	can	TRUE	
2	97	56	prime	TITAN	titan	TRUE	
2	98	56	target	RECLINER	recliner	TRUE	
2	99	57	prime	BODYGUARD	bodyguard	TRUE	
2	100	57	target	ACTRESS	actress	TRUE	
2	101	58	prime	PORT	port	TRUE	
2	102	58	target	DESK	desk	TRUE	
2	103	59	prime	MONASTERY	monastery	TRUE	
2	104	59	target	CASTLE	castle	TRUE	
2	105	60	prime	CRUISE	cruise	TRUE	
2	106	60	target	ERASER	eraser	TRUE	
2	107	61	prime	DEAL	deal	TRUE	
2	108	61	target	STACK	stack	TRUE	
2	109	62	prime	BIKE	bike	TRUE	
2	110	62	target	TOWEL	towel	TRUE	
2	111	63	prime	BANANA	banana	TRUE	
2	112	63	target	PEEL	peel	TRUE	
2	113	64	prime	BUTLER	butler	TRUE	
2	114	64	target	MILLIONAIRE	millionaire	TRUE	
2	115	65	prime	HAMMER	hammer	TRUE	
2	116	65	target	PEG	peg	TRUE	
2	117	66	prime	BANANA	banana	TRUE	
2	118	66	target	SUNDAE	sundae	TRUE	
2	119	67	prime	SPIDER	spider	TRUE	
2	120	67	target	BEE	bee	TRUE	
2	121	68	prime	DRESSER	dresser	TRUE	
2	122	68	target	MIRROR	mirror	TRUE	
2	123	69	prime	PORCH	porch	TRUE	
2	124	69	target	HAMMER	hammer	TRUE	
2	125	70	prime	HORSE	horse	TRUE	
2	126	70	target	RABBIT	rabbit	TRUE	
2	127	71	prime	COACH	coach	TRUE	
2	128	71	target	TEENAGER	teenager	TRUE	
2	129	72	prime	ZINC	zinc	TRUE	
2	130	72	target	PLANT	plant	TRUE	
2	131	73	prime	SALMON	samen (sic?)	FALSE	
2	132	73	target	POOL	pool	TRUE	
2	133	74	prime	SCAR	scar	TRUE	
2	134	74	target	CAFE	café	FALSE	
2	135	75	prime	SHOVEL	shovel	TRUE	
2	136	75	target	BUCKET	bucket	TRUE	
2	137	76	prime	VASE	vase	TRUE	
2	138	76	target	FLOWER	flower	TRUE	
2	139	77	prime	FLIGHT	flight	TRUE	
2	140	77	target	DRIVEWAY	driveway	TRUE	
2	141	78	prime	RIFLE	rifle	TRUE	
2	142	78	target	TRIGGER	trigger	TRUE	
2	143	79	prime	NECKLACE	necklace	TRUE	
2	144	79	target	DIAMOND	diamond	TRUE	
3	1	8	prime	MOTORCYCLE	…motorcycle	FALSE	
3	2	8	target	BUS	bus	TRUE	
3	3	9	prime	STATUE	statue	TRUE	
3	4	9	target	SANDWICH	sandwich	TRUE	
3	5	10	prime	HARBOR	harbor	TRUE	
3	6	10	target	BEAR	bear	TRUE	
3	7	11	prime	FUTON	futon	TRUE	
3	8	11	target	RADIATOR	radar	FALSE	
3	9	12	prime	RIFLE	rifle	TRUE	
3	10	12	target	TROPHY	trophy	TRUE	
3	11	13	prime	BUTTERFLY	butterfly	TRUE	
3	12	13	target	HORNET	hornet	TRUE	
3	13	14	prime	GAVEL	gavel	TRUE	
3	14	14	target	FLAGPOLE	flagpole	TRUE	
3	15	15	prime	WOLF	wolf	TRUE	
3	16	15	target	POLE	pole	TRUE	
3	17	16	prime	DOORSTEP	doorshep (sic)	FALSE	
3	18	16	target	FARM	farm	TRUE	
3	19	17	prime	TENT	tent	TRUE	
3	20	17	target	CABIN	cabinet	FALSE	
3	21	18	prime	GUITAR	guitar	TRUE	
3	22	18	target	PEDAL	pedal	TRUE	
3	23	19	prime	CADDY	caddy	TRUE	
3	24	19	target	GOLFER	golfer	TRUE	
3	25	20	prime	LAYER	layer	TRUE	
3	26	20	target	OAR	oar	TRUE	
3	27	21	prime	PORT	port	TRUE	
3	28	21	target	BULB	bulb	TRUE	
3	29	22	prime	HYDRANT	hydrant	TRUE	
3	30	22	target	REFLECTOR	reflector	TRUE	
3	31	23	prime	DORM	dorm	TRUE	
3	32	23	target	CONDO	condo	TRUE	
3	33	24	prime	SAW	saw	TRUE	
3	34	24	target	RAG	rag	TRUE	
3	35	25	prime	ISLE	isil	FALSE	
3	36	25	target	GRAVE	grave	TRUE	
3	37	26	prime	KIWI	kiwi	TRUE	
3	38	26	target	PEACH	peach	TRUE	
3	39	27	prime	AIRCRAFT	aircraft	TRUE	
3	40	27	target	FEATHER	feather	TRUE	
3	41	28	prime	FESTIVAL	festival	TRUE	
3	42	28	target	LETTER	l-letter	FALSE	
3	43	29	prime	DEAL	deal	TRUE	
3	44	29	target	SHELF	sshhelf	FALSE	
3	45	30	prime	NERVE	nerve	TRUE	
3	46	30	target	TREADMILL	treadmill	TRUE	
3	47	31	prime	ENGINEER	engineer	TRUE	
3	48	31	target	TIGER	tiger	TRUE	
3	49	32	prime	TEST	test	TRUE	
3	50	32	target	FORT	fort	TRUE	
3	51	33	prime	STATE	state	TRUE	
3	52	33	target	RAVEN	raven	TRUE	
3	53	34	prime	LOFT	loft	TRUE	
3	54	34	target	COVER	cover	TRUE	
3	55	35	prime	BANANA	banana	TRUE	
3	56	35	target	DRINK	drink	TRUE	
3	57	36	prime	SINK	sink	TRUE	
3	58	36	target	TILE	tit-	FALSE	
3	59	37	prime	BLUEPRINT	…blueprint	FALSE	
3	60	37	target	BUILDING	building	TRUE	
3	61	38	prime	ASYLUM	asylum	TRUE	
3	62	38	target	STRING	string	TRUE	
3	63	39	prime	TRAINER	trainer	TRUE	
3	64	39	target	ACTOR	actor	TRUE	
3	65	40	prime	GARLIC	garlic	TRUE	
3	66	40	target	BOULDER	eh...balder (sic)	FALSE	
3	67	41	prime	CHURCH	church	TRUE	
3	68	41	target	CROSS	cross	TRUE	
3	69	42	prime	VAN	man	FALSE	
3	70	42	target	TRAILER	trailer	TRUE	
3	71	43	prime	RESORT	resort	TRUE	
3	72	43	target	GARDEN	garden	TRUE	
3	73	44	prime	CONQUEROR	conquer (?)	FALSE	
3	74	44	target	SUPPORTER	supporter	TRUE	
3	75	45	prime	DIRECTOR	director	TRUE	
3	76	45	target	NOVEL	novel	TRUE	
3	77	46	prime	TORSO	torso	TRUE	
3	78	46	target	CHICKEN	chicken	TRUE	
3	79	47	prime	SHOWTIME	showtime	TRUE	
3	80	47	target	QUILT	quilt	TRUE	
3	81	48	prime	HOTEL	uh h-hotel	FALSE	
3	82	48	target	PATIO	patio	TRUE	
3	83	49	prime	WINDOW	window	TRUE	
3	84	49	target	PAINTING	painting	TRUE	
3	85	50	prime	PAN	pain-pan	FALSE	
3	86	50	target	RIVER	river	TRUE	
3	87	51	prime	JAR	jar	TRUE	
3	88	51	target	COOKIE	cookie	TRUE	
3	89	52	prime	CANOE	canoe	TRUE	
3	90	52	target	FLAG	flag	TRUE	
3	91	53	prime	DRESSER	dressrer	FALSE	
3	92	53	target	DRAWER	drawer	TRUE	
3	93	54	prime	ATLAS	a-atlas	FALSE	
3	94	54	target	MAP	map	TRUE	
3	95	55	prime	STORM	storm	TRUE	
3	96	55	target	ATHLETE	aflete (sic)	FALSE	
3	97	56	prime	SPATULA	spatula	TRUE	
3	98	56	target	STRAINER	strainer	TRUE	
3	99	57	prime	BIKE	bike	TRUE	
3	100	57	target	RACK	ba-rack	FALSE	
3	101	58	prime	CART	cart	TRUE	
3	102	58	target	LADLE	laddle (sic)	FALSE	
3	103	59	prime	BURGER	lad-burger	FALSE	
3	104	59	target	NAIL	nail	TRUE	
3	105	60	prime	ORCHESTRA	orchestra	TRUE	
3	106	60	target	JEWELER	jeweler	TRUE	
3	107	61	prime	SHIRT	shirt	TRUE	
3	108	61	target	CLUB	club	TRUE	
3	109	62	prime	BICYCLE	bicycle	TRUE	
3	110	62	target	TIRE	tire	TRUE	
3	111	63	prime	MARATHON	marathon	TRUE	
3	112	63	target	BONE	bone	TRUE	
3	113	64	prime	CRUISE	cruise	TRUE	
3	114	64	target	STAPLER	s-stapler	FALSE	
3	115	65	prime	DRUG	drug	TRUE	
3	116	65	target	CANDLE	candle	TRUE	
3	117	66	prime	CAMERA	camera	TRUE	
3	118	66	target	MANUAL	manuel	FALSE	
3	119	67	prime	CHAIN	chain	TRUE	
3	120	67	target	LINK	link	TRUE	
3	121	68	prime	TABLE	table	TRUE	
3	122	68	target	CHAIR	chair	TRUE	
3	123	69	prime	FORT	fort	TRUE	
3	124	69	target	CAVE	cave	TRUE	
3	125	71	prime	DRILL	drill	TRUE	
3	126	71	target	HANDBAG	handbag	TRUE	*there were two more words before handbag (playpen and sky)
3	127	72	prime	DRUM	drum	TRUE	
3	128	72	target	HYDRANT	hydrant	TRUE	
3	129	73	prime	ERASER	eraser	TRUE	
3	130	73	target	PENCIL	pencil	TRUE	
3	131	74	prime	CAR	car	TRUE	
3	132	74	target	BUMPER	bumper	TRUE	
3	133	75	prime	SAXOPHONE	saxaphone	FALSE	
3	134	75	target	PILLAR	pillar	TRUE	
3	135	76	prime	MONK	monk	TRUE	
3	136	76	target	CARPENTER	carpenter	TRUE	
3	137	77	prime	WAITRESS	waitress	TRUE	
3	138	77	target	DINER	din-diner	FALSE	
3	139	78	prime	MECHANISM	micha-mechanism	FALSE	
3	140	78	target	CHAPEL	chapel	TRUE	
3	141	79	prime	PUZZLE	puzzle	TRUE	
3	142	79	target	KID	kid…okay	FALSE	
4	1	8	prime	MOTORCYCLE		FALSE	
4	2	8	target	BENCH		FALSE	
4	3	9	prime	PENCIL		FALSE	
4	4	9	target	SHARPENER		FALSE	
4	5	10	prime	RESORT		FALSE	
4	6	10	target	POOL		FALSE	
4	7	11	prime	LAWYER		FALSE	
4	8	11	target	CURTAIN		FALSE	
4	9	12	prime	SOUP		FALSE	
4	10	12	target	TIRE		FALSE	
4	11	13	prime	SAW		FALSE	
4	12	13	target	WRENCH		FALSE	
4	13	14	prime	GARLIC		FALSE	
4	14	14	target	BUCKET		FALSE	
4	15	15	prime	BICYCLE		FALSE	
4	16	15	target	BASKET		FALSE	
4	17	16	prime	COUCH		FALSE	
4	18	16	target	TELEVISION		FALSE	
4	19	17	prime	DRUG		FALSE	
4	20	18	prime	DIRECTOR		FALSE	
4	21	18	target	NECKLACE		FALSE	
4	22	19	prime	HOSE		FALSE	
4	23	19	target	NOZZLE		FALSE	
4	24	20	prime	WARD		FALSE	
4	25	20	target	DISH		FALSE	
4	26	21	prime	GAVEL		FALSE	
4	27	21	target	FERRY		FALSE	
4	28	22	prime	CONQUEROR		FALSE	
4	29	22	target	SENATOR		FALSE	
4	30	23	prime	TORSO		FALSE	
4	31	23	target	CHIPMUNK		FALSE	
4	32	24	prime	STATE		FALSE	
4	33	24	target	RABBIT		FALSE	
4	34	25	prime	SKELETON		FALSE	
4	35	25	target	CLASSROOM		FALSE	
4	36	26	prime	LOFT		FALSE	
4	37	26	target	FLOWER		FALSE	
4	38	27	prime	HYDRANT		FALSE	
4	39	27	target	HOSE		FALSE	
4	40	28	prime	DORM		FALSE	
4	41	28	target	CAFE		FALSE	
4	42	29	prime	GUITAR		FALSE	
4	43	29	target	STRING		FALSE	
4	44	30	prime	VAN		FALSE	
4	45	30	target	TAXI		FALSE	
4	46	31	prime	AIRCRAFT		FALSE	
4	47	31	target	DIAMOND		FALSE	
4	48	32	prime	MONK		FALSE	
4	49	32	target	CARDINAL		FALSE	
4	50	33	prime	TABLE		FALSE	
4	51	33	target	LAMP		FALSE	
4	52	34	prime	ROD		FALSE	
4	53	34	target	LID		FALSE	
4	54	35	prime	VIOLIN		FALSE	
4	55	35	target	BOWL		FALSE	
4	56	36	prime	STORM		FALSE	
4	57	36	target	TEENAGER		FALSE	
4	58	37	prime	CANOE		FALSE	
4	59	37	target	OAR		FALSE	
4	60	38	prime	ISLE		FALSE	
4	61	38	target	GLOVE		FALSE	
4	62	39	prime	TREE		FALSE	
4	63	39	target	LIMB		FALSE	
4	64	40	prime	KIWI		FALSE	
4	65	40	target	PLANT		FALSE	
4	66	41	prime	WAITRESS		FALSE	
4	67	41	target	SENIOR		FALSE	
4	68	42	prime	SNEAKER		FALSE	
4	69	42	target	SOCK		FALSE	
4	70	43	prime	TRAINER		FALSE	
4	71	43	target	BOXER		FALSE	
4	72	44	prime	BURGER		FALSE	
4	73	44	target	PEG		FALSE	
4	74	45	prime	EMPIRE		FALSE	
4	75	45	target	SUNDAE		FALSE	
4	76	46	prime	TABLE		FALSE	
4	77	46	target	LEG		FALSE	
4	78	47	prime	BOOK		FALSE	
4	79	47	target	PAGE		FALSE	
4	80	48	prime	WOLF		FALSE	
4	81	48	target	CUSHION		FALSE	
4	82	49	prime	CART		FALSE	
4	83	49	target	LEMON		FALSE	
4	84	50	prime	PUZZLE		FALSE	
4	85	50	target	MILLIONAIRE		FALSE	
4	86	51	prime	DISK		FALSE	
4	87	51	target	WALL		FALSE	
4	88	52	prime	SON		FALSE	
4	89	52	target	RAMP		FALSE	
4	90	53	prime	CADDY		FALSE	
4	91	53	target	CELEBRITY		FALSE	
4	92	54	prime	BACKPACK		FALSE	
4	93	54	target	BOOK		FALSE	
4	94	55	prime	TENT		FALSE	
4	95	55	target	CAVERN		FALSE	
4	96	56	prime	SAXOPHONE		FALSE	
4	97	56	target	PIANO		FALSE	
4	98	57	prime	CHURCH		FALSE	
4	99	57	target	DRIVEWAY		FALSE	
4	100	58	prime	FESTIVAL		FALSE	
4	101	58	target	ALBUM		FALSE	
4	102	59	prime	ORCHESTRA		FALSE	
4	103	59	target	ACTRESS		FALSE	
4	104	60	prime	SPATULA		FALSE	
4	105	60	target	SANDWICH		FALSE	
4	106	61	prime	CANOE		FALSE	
4	107	61	target	TRAIL		FALSE	
4	108	62	prime	DRILL		FALSE	
4	109	62	target	HAMMER		FALSE	
4	110	63	prime	PECAN		FALSE	
4	111	63	target	JOURNAL		FALSE	
4	112	64	prime	FUTON		FALSE	
4	113	64	target	RECLINER		FALSE	
4	114	65	prime	CAMERA		FALSE	
4	115	65	target	LENS		FALSE	
4	116	66	prime	DOORSTEP		FALSE	
4	117	66	target	WALL		FALSE	
4	118	67	prime	BLINDFOLD		FALSE	
4	119	67	target	DRAWING		FALSE	
4	120	68	prime	ERASER		FALSE	
4	121	68	target	PEN		FALSE	
4	122	69	prime	LAMP		FALSE	
4	123	69	target	DOLL		FALSE	
4	124	70	prime	HARBOR		FALSE	
4	125	70	target	BEE		FALSE	
4	126	71	prime	LIVER		FALSE	
4	127	71	target	TARGET		FALSE	
4	128	72	prime	STATUE		FALSE	
4	129	72	target	SUNDAE		FALSE	
4	130	73	prime	PAN		FALSE	
4	131	73	target	FACTORY		FALSE	
4	132	74	prime	SHIRT		FALSE	
4	133	74	target	CAN		FALSE	
4	134	75	prime	TRUMPET		FALSE	
4	135	75	target	RUG		FALSE	
4	136	76	prime	ENGINEER		FALSE	
4	137	76	target	TURTLE		FALSE	
4	138	77	prime	MECHANISM		FALSE	
4	139	77	target	CASTLE		FALSE	
4	140	78	prime	PURSE		FALSE	
4	141	78	target	SIGN		FALSE	
4	142	79	prime	BUTTERFLY		FALSE	
4	143	79	target	HAMSTER		FALSE	
5	1	8	prime	FLIGHT	flight	TRUE	
5	2	8	target	CROSS	cross	TRUE	
5	3	9	prime	TREASURER	treasurer	TRUE	
5	4	9	target	SUPPORTER	supporter	TRUE	
5	5	10	prime	RAT	rat	TRUE	
5	6	10	target	TRAILER	trailer	TRUE	
5	7	11	prime	JAW	jaw	TRUE	
5	8	11	target	RAG	rag	TRUE	
5	9	12	prime	PASSPORT	s-passport	FALSE	
5	10	12	target	DINER	dinner	FALSE	
5	11	13	prime	TITAN	(laughter) titan	FALSE	
5	12	13	target	RADIATOR	radiator	TRUE	
5	13	14	prime	TRUMPET	trumpet	TRUE	
5	14	14	target	MIRROR	mirror	TRUE	
5	15	15	prime	LOCKER	locker	TRUE	
5	16	15	target	PEDAL	pedal	TRUE	
5	17	16	prime	KNIFE	knife	TRUE	
5	18	16	target	CLUB	club	TRUE	
5	19	17	prime	PURSE	purse	TRUE	
5	20	17	target	SAW	saw	TRUE	
5	21	18	prime	LOTTERY	lottery	TRUE	
5	22	18	target	TIRE	tire	TRUE	
5	23	19	prime	HOSE	hose	TRUE	
5	24	19	target	HELMET	helmet	TRUE	
5	25	20	prime	RAIL	rail	TRUE	
5	26	20	target	CARPENTER	carpenter	TRUE	
5	27	21	prime	KAYAK	kayak	TRUE	
5	28	21	target	FLAGPOLE	flagpole	TRUE	
5	29	22	prime	BUTLER	butler	TRUE	
5	30	22	target	KID	kid	TRUE	
5	31	23	prime	SHOVEL	shovel	TRUE	
5	32	23	target	BOULDER	boulder	TRUE	
5	33	24	prime	MELON	melon	TRUE	
5	34	24	target	GOLFER	golfer	TRUE	
5	35	25	prime	DAM	dam	TRUE	
